"userID","method","condition","FINAL_03","FINAL_04"
"59702357039224","Lab","Plant","it would be very useful if you live a busy life and want  to care for a plant","the artifact is still a prototype some improvement can be sending push notifications to phone bieng connected to a smart home and show some statistics and info for moisture"
"59702357039224","Lab","Cup","yes since sometime I wait for my coffee a bit too much and becomes cold and stale","i like the way it was presented and it is such a good idea"
"59702357039224","Lab","Mill","this could be useful for people who forget to buy groceries and would be a good reminder","my dislike is that i dont think alot of people will care for a machine that tellls them how much peppers they still have and use an outlet for it and make a clutter"
"59702357039224","Lab","Speaker","this artifact would help remind me if the noise is becoming noisy and disruptive to others","i would like more info and to be more connected to the phone"
"34282463854667","Lab","Cup","Think I dont ned it for my tea","Looks nice"
"34282463854667","Lab","Plant","My plants would be very happy","Looks unauffÃ¤llig and helps"
"34282463854667","Lab","Speaker","Notreally necessary for me","Could look nicer"
"34282463854667","Lab","Mill","I can see feel the filling of my mills","Looks nice"
"57027574993655","Lab","Speaker","Licht kÃ¶nnte stÃ¶ren abends","Gute Erkennbarkeit der LautstÃ¤rke auf Entfernung im Zimmer"
"57027574993655","Lab","Mill","Praktisch fÃ¼r die WG so sieht jeder dass etwas leer ist keine Diskussion du hast nicht bescheid gesgagt Beim Einkaufslistenerstellen praktisch da es direkt in den Blick fÃ¤llt","Licht an fester Station nicht direkt an den MÃ¼hlen So muss man bzw tut es aus Neugier immer auf die Station schauen "
"57027574993655","Lab","Cup","FÃ¼r mich gut um zu sehen ob der Kaffe noch trinkbar ist 
FÃ¼rs BÃ¼ro eher unpraktisch da jeder eine passende Tasse haben muss der dieses System benutzt Ist blÃ¶d wenn der Kaffee verschÃ¼ttet wird auf dem Schreibtisch","Gute visualisierung von Temperatur sehe aber keinen groÃŸen praktischen Unterschied zu herrkÃ¶mmlichen Tassen mit Temperaturanzeige"
"57027574993655","Lab","Plant","Zeigt allen Bewohnern an dass mal wieder gegossen werden muss oder eben dass nicht mehr gegossen werden sollte","Licht kÃ¶nnte stÃ¶ren bzw muss abends aus gemacht werden und morgens an"
"18025464968638","Lab","Mill","Because I never know how much saltpepper I have left","I like its direct response to my activity
I would be annoyed if the lights would be turned on all the time instead of just when Im cooking  going for groceries"
"18025464968638","Lab","Speaker","I think I know how loud my speakers usually are and they are usually quiet","The encoding of louder - red warning signal may not meet everyones understanding of the speakers volume"
"18025464968638","Lab","Plant","Its super useful because I keep forgetting to water my plants","I like that it helps to get a good idea which plants need water and how fast they consume it
Theres nothing to dislike about useful things!"
"18025464968638","Lab","Cup","No more burned tongues in the future!","No more burned tongues in the future!"
"45803049942478","Lab","Plant","Because its already where the action has to be done","Because its already where the action has to be done"
"45803049942478","Lab","Cup","I can already feel the temperature of my coffee with my hands and I can even taste it to feel how warm it is","I think that having to set a specific temperature beforehand is useless because maybe my taste could change with my mood I would maybe prefer having the temperature displayed instead of the temperature I set before"
"45803049942478","Lab","Mill","I guess you could just use a mill that you can see through","I like the fact that you can still be able to see the level of salt or pepper even if the mill is not on the base"
"45803049942478","Lab","Speaker","I can already know how loud are my speakers by hearing them but maybe sometimes I could increase the volume and cant figure that the volume went to high so having another mean to get the information could be useful","The fact that it is the real volume displayed and not the volume of the smartphone Because the volume of the smartphone can be very high but the volume of the speakers can be very low"
"49077228105686","Lab","Cup","drink hot drinks is a daily task hence we already have an impression when its the best time to drink it as we like it it rarely happens that I get an injury from drinking the coffee too hot or so Yet I think its a cool icebreaker in social events if i am at a friends house or even in my home and this is lying around i think it might be cool eg drink your coffee before its cold type of conversation starter","i am not sure how stable it is i was super careful placing the cup on it although it looks stable i had the impression that i am putting the cup on a lifted surface which made it a bit unsafe"
"49077228105686","Lab","Plant","I have no idea how to handle plants their types water intake and climate changes So I think it makes it a no-brainer to not kill plants ","I didnt like the presentation of the status as an external part of the plant it would have been nicer if there is an artificial leaf displaying the status rather than a LED stripe However i am not sure if it will be as visible and clear as the LED stripe or not "
"49077228105686","Lab","Speaker","I dont think its useful in it way in reflecting the sound level in my vicinity as we already have a perception of loudness yet if it reflects how its loud in other room eg if you can tell the noise level getting out of your room is low or high then it would be really useful so one would know if heshe causing any noise to neighbours or flatmates ","its cool for parties and visually appealing "
"49077228105686","Lab","Mill","As mills have their own weight so i might think there is still content there yet its almost empty also it could act as a reminder if i have it in my kitchen lighting in yellow its sort of reminder that i need to go shopping","the additional part for notification maybe if its just a LED on top showing the status so i can place it anywhere and move it freely"
"50474400760253","Lab","Speaker","I hear to a lot of music","Nothing in particular"
"50474400760253","Lab","Mill","Not necessary","Nothing in particular"
"50474400760253","Lab","Cup",""," "
"50474400760253","Lab","Plant"," "," "
"81815864920848","Lab","Mill","The artifact is simple to use convenient fashionable and more important - useful","Too much light could be not a good idea at night"
"81815864920848","Lab","Speaker","Useful for people listening to much music However for me personally it would be not so useful because I anyway do not listen to loud music","It is nice beautiful but in my opinion not so useful"
"81815864920848","Lab","Plant","Useful - it is very practical many people need it","It could be improved by taking into account all possible complications"
"81815864920848","Lab","Cup","Useful - practical could be necessary","I like it because it is convenient and do not see any reasons to dislike"
"96038764984296","AR","Plant","Would help my plants","It would interrupt my view and my feeling for my plants"
"96038764984296","AR","Cup","Perhaps for people I have to care about babies elderly people I dont want to test the temperature for with hand or mouth","For me allone I think it is not necessary"
