"ID","userID","method","timeStamp","duration","condition","FINAL_01","FINAL_02","FINAL_03","FINAL_04","ARI_01","ARI_02","ARI_03","ARI_04","ARI_05","ARI_06","ARI_07","ARI_08","ARI_09","ARI_10","ARI_11","ARI_12","ARI_13","ARI_14","ARI_15","ARI_16","ARI_17","ARI_18","ARI_19","ARI_20","ARI_21","ATTRAKDIFF_01","ATTRAKDIFF_02","ATTRAKDIFF_03","ATTRAKDIFF_04","ATTRAKDIFF_05","ATTRAKDIFF_06","ATTRAKDIFF_07","ATTRAKDIFF_08","ATTRAKDIFF_09","ATTRAKDIFF_10","ATTRAKDIFF_11","ATTRAKDIFF_12","ATTRAKDIFF_13","ATTRAKDIFF_14","ATTRAKDIFF_15","ATTRAKDIFF_16","ATTRAKDIFF_17","ATTRAKDIFF_18","ATTRAKDIFF_19","ATTRAKDIFF_20","ATTRAKDIFF_21","ATTRAKDIFF_22","ATTRAKDIFF_23","ATTRAKDIFF_24","ATTRAKDIFF_25","ATTRAKDIFF_26","ATTRAKDIFF_27","ATTRAKDIFF_28","SUS_01","SUS_02","SUS_03","SUS_04","SUS_05","SUS_06","SUS_07","SUS_08","SUS_09","SUS_10","Q0-duration","Q1-duration","Q2-duration","Q3-duration","SUS_Score","ARI_Score","AD_PQ","AD_HQI","AD_HQS","AD_ATT","AD_HQ"
1,"59702357039224","Lab",1535440576464,4221,"Plant",2,2,"it would be very useful if you live a busy life and want  to care for a plant","the artifact is still a prototype some improvement can be sending push notifications to phone bieng connected to a smart home and show some statistics and info for moisture",2,2,2,1,-2,3,3,2,0,0,0,2,2,-2,-1,0,0,3,3,0,2,1,0,1,2,-2,1,-3,3,-3,1,1,-3,1,-2,0,-1,-2,2,-1,5,1,-1,-1,-2,3,1,1,0,2,3,3,3,-1,2,3,3,-1,3,130580,228211,207247,165391,6,5,4,3.71428571428571,4.57142857142857,4.14285714285714,4.14285714285714
2,"59702357039224","Lab",1535441266331,263316,"Cup",3,3,"yes since sometime I wait for my coffee a bit too much and becomes cold and stale","i like the way it was presented and it is such a good idea",-2,2,2,1,3,2,3,-2,2,2,1,-2,2,3,0,2,1,-2,-1,1,-2,-2,-2,2,2,-2,3,2,-2,3,0,1,2,-2,2,1,-2,0,0,1,2,-2,1,-2,-1,1,-2,-1,-1,3,3,2,3,1,2,3,3,2,3,77118,118445,162090,67407,6.5,4.76190476190476,4.42857142857143,4.57142857142857,4,3.28571428571429,4.28571428571429
3,"59702357039224","Lab",1535441926053,203848,"Mill",3,-1,"this could be useful for people who forget to buy groceries and would be a good reminder","my dislike is that i dont think alot of people will care for a machine that tellls them how much peppers they still have and use an outlet for it and make a clutter",2,1,2,1,3,3,-3,3,1,2,-1,2,2,2,-2,-1,2,2,2,0,1,-2,2,-1,-1,1,2,2,2,2,0,2,0,-1,2,-2,-2,2,2,-1,3,-1,0,3,1,-2,2,1,0,2,2,2,3,2,-2,2,-3,3,2,71137,132124,124423,125864,5.3,5.04761904761905,4.42857142857143,5,4.14285714285714,4.71428571428571,4.57142857142857
4,"59702357039224","Lab",1535442459259,101932,"Speaker",3,1,"this artifact would help remind me if the noise is becoming noisy and disruptive to others","i would like more info and to be more connected to the phone",1,2,2,2,3,3,2,3,3,2,-1,2,3,2,2,1,1,1,2,2,2,-1,-1,2,2,-1,2,-2,1,0,1,-1,-2,0,2,3,2,0,2,0,5,1,-1,-2,-1,0,1,-1,-1,1,3,3,2,2,2,3,-1,3,2,95254,138479,110382,86051,6,6,4.14285714285714,4.14285714285714,5.85714285714286,3.28571428571429,5
6,"34282463854667","Lab",1535443499097,222172,"Cup",3,-2,"Think I dont ned it for my tea","Looks nice",1,1,0,2,3,3,3,3,2,-2,0,2,-1,0,0,2,-3,-3,3,0,-3,-3,-3,0,0,2,1,-1,-2,0,-2,-1,1,1,-2,3,2,-1,1,-3,5,1,2,-1,-1,2,0,0,-2,1,-2,-3,-3,-2,-3,-3,-1,-1,-3,52520,140603,177784,56656,2,4.61904761904762,3.42857142857143,3.28571428571429,5.14285714285714,4,4.21428571428571
7,"34282463854667","Lab",1535443929747,93622,"Plant",3,3,"My plants would be very happy","Looks unauffÃ¤llig and helps",2,2,-1,2,3,3,3,3,2,-1,1,1,-1,1,-2,2,-2,-2,0,-2,-1,3,-3,1,-2,2,-2,-2,3,-3,0,2,-2,2,-2,-2,2,-3,0,0,4,0,0,2,-3,3,-2,-3,-2,3,3,3,3,3,3,3,3,2,3,71219,87739,110337,66793,6.9,4.52380952380952,3.57142857142857,4,4.14285714285714,3.28571428571429,4.07142857142857
8,"34282463854667","Lab",1535444319504,118552,"Speaker",3,-1,"Notreally necessary for me","Could look nicer",1,0,-1,1,3,3,3,3,1,0,1,-1,-3,-1,-3,2,-2,-2,-1,-3,-3,1,-1,-3,1,2,-2,0,1,2,2,2,-2,2,0,1,1,-1,1,-1,4,0,-2,-2,-1,1,-2,2,1,1,3,3,2,2,2,3,0,0,2,53470,81455,105723,29683,5.8,3.76190476190476,3.71428571428571,5,4.71428571428571,3.57142857142857,4.85714285714286
9,"34282463854667","Lab",1535444712133,145722,"Mill",3,-1,"I can see feel the filling of my mills","Looks nice",-1,-1,0,1,3,3,3,3,-2,-1,0,-1,-2,0,-2,-1,-2,-2,1,-2,-1,2,1,1,2,0,1,1,2,0,2,0,1,-1,0,-2,0,-1,1,1,4,0,-1,1,0,1,0,1,0,-1,2,2,3,2,2,3,2,0,3,51481,72305,95040,27212,5.8,3.71428571428571,5.14285714285714,4.57142857142857,4.42857142857143,4.28571428571429,4.5
11,"57027574993655","Lab",1535445567186,157065,"Speaker",3,-2,"Licht kÃ¶nnte stÃ¶ren abends","Gute Erkennbarkeit der LautstÃ¤rke auf Entfernung im Zimmer",0,0,-1,0,3,2,3,2,1,-2,0,0,-1,-1,0,3,1,-1,-1,-1,-3,1,0,-1,2,0,-2,0,0,-2,1,0,0,-2,2,-1,2,0,0,1,4,0,-2,0,2,-1,-1,2,-2,-2,3,3,3,1,2,2,3,3,1,65108,121705,147125,85283,5.9,4.19047619047619,4,3.85714285714286,4.85714285714286,3.71428571428571,4.35714285714286
12,"57027574993655","Lab",1535446077149,158885,"Mill",3,1,"Praktisch fÃ¼r die WG so sieht jeder dass etwas leer ist keine Diskussion du hast nicht bescheid gesgagt Beim Einkaufslistenerstellen praktisch da es direkt in den Blick fÃ¤llt","Licht an fester Station nicht direkt an den MÃ¼hlen So muss man bzw tut es aus Neugier immer auf die Station schauen ",1,2,2,1,3,2,3,1,-1,1,0,0,-2,2,2,2,-2,2,1,1,-2,0,-2,3,0,1,-1,-1,-3,-2,2,-3,2,-2,1,2,2,1,0,1,2,-2,2,-2,-3,2,0,-1,-1,1,3,3,2,3,3,3,2,3,3,45014,88962,116106,98540,6.6,5,4,3.28571428571429,4.85714285714286,3.57142857142857,4.07142857142857
13,"57027574993655","Lab",1535446652247,193070,"Cup",3,0,"FÃ¼r mich gut um zu sehen ob der Kaffe noch trinkbar ist 
FÃ¼rs BÃ¼ro eher unpraktisch da jeder eine passende Tasse haben muss der dieses System benutzt Ist blÃ¶d wenn der Kaffee verschÃ¼ttet wird auf dem Schreibtisch","Gute visualisierung von Temperatur sehe aber keinen groÃŸen praktischen Unterschied zu herrkÃ¶mmlichen Tassen mit Temperaturanzeige",1,1,1,1,3,1,1,3,0,2,0,0,-1,1,2,1,1,2,-1,1,-2,2,2,-2,0,2,-2,-2,2,-1,1,-1,0,-2,1,-1,-1,0,-2,-1,4,0,0,2,-2,1,1,-1,0,1,3,3,3,3,2,3,3,2,3,45164,92104,107088,136879,6.6,4.95238095238095,4,4,3.85714285714286,4.14285714285714,3.92857142857143
14,"57027574993655","Lab",1535447076198,84422,"Plant",3,2,"Zeigt allen Bewohnern an dass mal wieder gegossen werden muss oder eben dass nicht mehr gegossen werden sollte","Licht kÃ¶nnte stÃ¶ren bzw muss abends aus gemacht werden und morgens an",2,2,3,2,3,3,3,3,-1,2,2,1,1,1,2,1,1,1,2,2,2,-2,0,-2,-3,3,-3,-3,2,-2,2,-3,2,-2,-1,2,-1,-2,-2,-2,6,2,-2,-1,2,-1,2,-2,-2,2,3,3,3,3,3,3,2,3,3,42430,95438,129611,70553,6.8,5.90476190476191,2.57142857142857,3.71428571428571,4.42857142857143,3.42857142857143,4.07142857142857
16,"18025464968638","Lab",1535448112990,179447,"Mill",3,3,"Because I never know how much saltpepper I have left","I like its direct response to my activity
I would be annoyed if the lights would be turned on all the time instead of just when Im cooking  going for groceries",1,2,3,3,3,3,3,3,2,3,3,1,-3,1,-3,3,0,3,2,-2,-3,-2,-2,-3,-3,3,-2,-3,-3,-1,-3,3,-3,2,-3,2,3,3,3,0,4,0,3,0,0,-3,3,3,-1,3,3,3,3,3,3,3,3,3,3,75355,134654,238062,124222,7,5.19047619047619,2.28571428571429,2.85714285714286,6.14285714285714,4.71428571428571,4.5
17,"18025464968638","Lab",1535448785678,130881,"Speaker",3,-1,"I think I know how loud my speakers usually are and they are usually quiet","The encoding of louder - red warning signal may not meet everyones understanding of the speakers volume",-3,3,3,3,3,3,3,3,3,1,3,2,1,2,-3,1,-3,0,3,-3,1,-2,-1,-1,-1,2,-1,0,-3,-3,1,3,0,0,1,3,-3,0,0,-2,2,-2,3,2,2,2,0,-1,3,1,3,3,3,3,3,3,3,3,3,73735,129996,232424,104291,6.8,5.09523809523809,3.42857142857143,3.85714285714286,3.71428571428571,5.57142857142857,3.78571428571429
18,"18025464968638","Lab",1535449578005,451151,"Plant",3,3,"Its super useful because I keep forgetting to water my plants","I like that it helps to get a good idea which plants need water and how fast they consume it
Theres nothing to dislike about useful things!",2,-2,3,3,3,3,3,3,2,3,3,1,-1,3,-3,2,-3,3,1,-3,-2,2,3,3,-2,0,3,3,-3,0,3,3,-3,2,-3,3,-3,-1,-3,2,4,0,-3,-3,-2,-3,0,3,2,3,3,3,3,3,3,3,3,3,3,33525,85451,129643,91597,7,5,5.71428571428571,3.85714285714286,4.28571428571429,3.14285714285714,4.07142857142857
19,"18025464968638","Lab",1535450194214,294921,"Cup",3,3,"No more burned tongues in the future!","No more burned tongues in the future!",-2,1,2,1,3,3,3,-3,-2,-3,3,3,-3,-2,-3,1,-3,-3,-2,-2,-3,-2,-1,2,3,3,-3,-2,3,-1,3,1,1,2,-2,3,-3,3,1,-1,7,3,3,2,-3,-2,-2,-3,0,3,3,3,-3,3,3,3,2,2,2,76464,72118,130102,41601,6.1,3.33333333333333,4,5,5.85714285714286,3.28571428571429,5.42857142857143
21,"45803049942478","Lab",1535451670521,143205,"Plant",3,3,"Because its already where the action has to be done","Because its already where the action has to be done",1,1,1,0,3,3,2,3,1,1,0,0,1,1,1,1,-1,1,2,1,-1,2,3,2,-2,-3,2,2,0,1,-3,-3,-1,0,-3,-1,-3,-2,-3,-2,2,-2,1,-1,1,1,0,1,-1,3,3,3,3,3,2,3,3,3,3,168581,238264,174251,105352,6.9,5.09523809523809,4.85714285714286,2.71428571428571,2.42857142857143,4.28571428571429,2.57142857142857
22,"45803049942478","Lab",1535452635864,336984,"Cup",3,0,"I can already feel the temperature of my coffee with my hands and I can even taste it to feel how warm it is","I think that having to set a specific temperature beforehand is useless because maybe my taste could change with my mood I would maybe prefer having the temperature displayed instead of the temperature I set before",1,1,0,0,1,1,2,2,1,1,0,0,0,1,1,1,0,1,-1,0,-1,0,0,2,2,1,0,0,-1,2,0,0,-1,0,-1,-1,0,1,-2,1,2,-2,0,1,-1,2,0,0,-1,1,1,1,3,1,1,2,3,2,2,77858,126805,135166,287610,5.7,4.61904761904762,4.71428571428571,3.85714285714286,3.85714285714286,4.14285714285714,3.85714285714286
23,"45803049942478","Lab",1535453268295,222896,"Mill",3,0,"I guess you could just use a mill that you can see through","I like the fact that you can still be able to see the level of salt or pepper even if the mill is not on the base",1,1,1,1,2,2,-1,2,1,1,-1,0,0,1,1,1,0,1,1,1,0,0,2,0,0,-1,1,1,1,-3,-2,1,2,0,-1,-1,-1,-1,1,1,4,0,1,0,-2,-1,-1,0,0,-2,-1,2,3,1,2,3,3,0,3,72803,111547,106973,117439,5.4,4.80952380952381,4.42857142857143,3.71428571428571,4.42857142857143,3.57142857142857,4.07142857142857
24,"45803049942478","Lab",1535453875936,119481,"Speaker",3,1,"I can already know how loud are my speakers by hearing them but maybe sometimes I could increase the volume and cant figure that the volume went to high so having another mean to get the information could be useful","The fact that it is the real volume displayed and not the volume of the smartphone Because the volume of the smartphone can be very high but the volume of the speakers can be very low",1,2,1,1,3,2,-1,3,1,1,-1,0,0,1,1,1,1,1,1,1,1,-1,0,1,0,-1,0,1,1,-1,-1,-2,1,0,-2,-2,0,0,-1,1,3,-1,-1,0,1,2,1,1,-1,0,-1,3,3,1,2,3,-1,1,3,75412,91409,100048,220388,5.4,5.04761904761905,4,3.42857142857143,4,4.42857142857143,3.71428571428571
26,"49077228105686","Lab",1535455366764,347747,"Cup",3,-3,"drink hot drinks is a daily task hence we already have an impression when its the best time to drink it as we like it it rarely happens that I get an injury from drinking the coffee too hot or so Yet I think its a cool icebreaker in social events if i am at a friends house or even in my home and this is lying around i think it might be cool eg drink your coffee before its cold type of conversation starter","i am not sure how stable it is i was super careful placing the cup on it although it looks stable i had the impression that i am putting the cup on a lifted surface which made it a bit unsafe",0,1,-2,-2,3,2,1,3,-2,0,3,0,-2,-2,-2,3,0,-3,0,-2,-3,-3,-3,-2,-2,-2,-2,-2,3,0,0,0,1,1,0,0,2,-2,0,2,6,2,0,1,0,1,-1,0,-1,0,3,3,-2,2,3,3,3,3,3,41685,97670,109665,283208,6.1,3.71428571428571,1.71428571428571,4.71428571428571,5.42857142857143,4,5.07142857142857
27,"49077228105686","Lab",1535455926306,151522,"Plant",3,3,"I have no idea how to handle plants their types water intake and climate changes So I think it makes it a no-brainer to not kill plants ","I didnt like the presentation of the status as an external part of the plant it would have been nicer if there is an artificial leaf displaying the status rather than a LED stripe However i am not sure if it will be as visible and clear as the LED stripe or not ",0,3,1,1,3,3,3,3,2,0,3,-3,-3,0,-3,3,-3,2,0,-2,-3,3,-3,3,3,0,0,-2,-1,-1,-3,-2,-2,2,2,3,3,1,3,0,5,1,0,0,-3,0,2,1,1,3,3,3,3,3,3,3,3,3,3,61339,71228,118316,156114,7,4.33333333333333,4.57142857142857,3.28571428571429,6.28571428571429,4.14285714285714,4.78571428571429
28,"49077228105686","Lab",1535456425066,140805,"Speaker",3,-3,"I dont think its useful in it way in reflecting the sound level in my vicinity as we already have a perception of loudness yet if it reflects how its loud in other room eg if you can tell the noise level getting out of your room is low or high then it would be really useful so one would know if heshe causing any noise to neighbours or flatmates ","its cool for parties and visually appealing ",0,0,0,-3,3,3,0,3,-3,0,3,0,-3,-3,0,1,-3,-3,-3,-3,-3,-3,0,0,3,0,0,-1,0,1,0,-1,3,0,-1,0,0,1,0,0,4,0,1,-1,0,-1,-3,3,3,-3,2,3,3,3,2,3,3,3,1,37091,64811,67118,188131,6,3.33333333333333,3.85714285714286,4.28571428571429,4.71428571428571,4.28571428571429,4.5
29,"49077228105686","Lab",1535457023978,324753,"Mill",3,3,"As mills have their own weight so i might think there is still content there yet its almost empty also it could act as a reminder if i have it in my kitchen lighting in yellow its sort of reminder that i need to go shopping","the additional part for notification maybe if its just a LED on top showing the status so i can place it anywhere and move it freely",-1,3,-3,-3,3,3,3,3,2,-3,3,-2,-3,0,-3,-2,-3,-3,-3,-2,-3,0,0,-1,1,-1,1,0,0,-1,-1,1,1,0,-1,1,1,3,0,2,2,-2,1,-1,0,0,1,-1,-1,2,2,3,3,2,2,3,1,3,2,33731,51205,56877,131501,6.3,3.19047619047619,4,3.85714285714286,5,3.85714285714286,4.42857142857143
31,"50474400760253","Lab",1535461981649,179704,"Speaker",1,1,"I hear to a lot of music","Nothing in particular",0,0,0,-2,2,1,0,0,-1,-1,0,0,0,2,2,0,0,0,2,0,-2,1,-1,-3,-3,-1,0,0,-2,-2,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-2,1,-2,0,0,1,0,0,1,2,2,2,3,2,3,1,3,0,47179,106899,103611,55287,5.9,4.23809523809524,3,2.85714285714286,3.57142857142857,4,3.21428571428571
