"ID","userID","method","timeStamp","duration","condition","values"
"1","59702357039224","Lab","1535440576464","4221","1","FINAL_01:2;FINAL_02:2;FINAL_03:it would be very useful if you live a busy life and want  to care for a plant;FINAL_04:the artifact is still a prototype some improvement can be sending push notifications to phone bieng connected to a smart home and show some statistics and info for moisture;ARI_01:2;ARI_02:2;ARI_03:2;ARI_04:1;ARI_05:-2;ARI_06:-3;ARI_07:-3;ARI_08:2;ARI_09:0;ARI_10:0;ARI_11:0;ARI_12:2;ARI_13:2;ARI_14:-2;ARI_15:-1;ARI_16:0;ARI_17:0;ARI_18:3;ARI_19:3;ARI_20:0;ARI_21:2;ATTRAKDIFF_01:3;ATTRAKDIFF_02:4;ATTRAKDIFF_03:3;ATTRAKDIFF_04:2;ATTRAKDIFF_05:6;ATTRAKDIFF_06:3;ATTRAKDIFF_07:1;ATTRAKDIFF_08:1;ATTRAKDIFF_09:7;ATTRAKDIFF_10:5;ATTRAKDIFF_11:3;ATTRAKDIFF_12:7;ATTRAKDIFF_13:5;ATTRAKDIFF_14:2;ATTRAKDIFF_15:4;ATTRAKDIFF_16:3;ATTRAKDIFF_17:2;ATTRAKDIFF_18:6;ATTRAKDIFF_19:5;ATTRAKDIFF_20:5;ATTRAKDIFF_21:6;ATTRAKDIFF_22:5;ATTRAKDIFF_23:5;ATTRAKDIFF_24:2;ATTRAKDIFF_25:7;ATTRAKDIFF_26:3;ATTRAKDIFF_27:3;ATTRAKDIFF_28:4;SUS_01:2;SUS_02:-3;SUS_03:3;SUS_04:-3;SUS_05:-1;SUS_06:-2;SUS_07:3;SUS_08:-3;SUS_09:-1;SUS_10:-3;Q0-duration:130580;Q1-duration:228211;Q2-duration:207247;Q3-duration:165391"
"2","59702357039224","Lab","1535441266331","263316","3","FINAL_01:3;FINAL_02:3;FINAL_03:yes since sometime I wait for my coffee a bit too much and becomes cold and stale;FINAL_04:i like the way it was presented and it is such a good idea;ARI_01:-2;ARI_02:2;ARI_03:2;ARI_04:1;ARI_05:3;ARI_06:-2;ARI_07:-3;ARI_08:-2;ARI_09:2;ARI_10:2;ARI_11:-1;ARI_12:-2;ARI_13:2;ARI_14:3;ARI_15:0;ARI_16:2;ARI_17:1;ARI_18:-2;ARI_19:-1;ARI_20:1;ARI_21:-2;ATTRAKDIFF_01:6;ATTRAKDIFF_02:2;ATTRAKDIFF_03:2;ATTRAKDIFF_04:2;ATTRAKDIFF_05:6;ATTRAKDIFF_06:1;ATTRAKDIFF_07:6;ATTRAKDIFF_08:6;ATTRAKDIFF_09:1;ATTRAKDIFF_10:4;ATTRAKDIFF_11:3;ATTRAKDIFF_12:2;ATTRAKDIFF_13:2;ATTRAKDIFF_14:6;ATTRAKDIFF_15:3;ATTRAKDIFF_16:2;ATTRAKDIFF_17:4;ATTRAKDIFF_18:4;ATTRAKDIFF_19:3;ATTRAKDIFF_20:2;ATTRAKDIFF_21:3;ATTRAKDIFF_22:3;ATTRAKDIFF_23:6;ATTRAKDIFF_24:3;ATTRAKDIFF_25:5;ATTRAKDIFF_26:6;ATTRAKDIFF_27:5;ATTRAKDIFF_28:3;SUS_01:3;SUS_02:-3;SUS_03:2;SUS_04:-3;SUS_05:1;SUS_06:-2;SUS_07:3;SUS_08:-3;SUS_09:2;SUS_10:-3;Q0-duration:77118;Q1-duration:118445;Q2-duration:162090;Q3-duration:67407"
"3","59702357039224","Lab","1535441926053","203848","2","FINAL_01:3;FINAL_02:-1;FINAL_03:this could be useful for people who forget to buy groceries and would be a good reminder;FINAL_04:my dislike is that i dont think alot of people will care for a machine that tellls them how much peppers they still have and use an outlet for it and make a clutter;ARI_01:2;ARI_02:1;ARI_03:2;ARI_04:1;ARI_05:3;ARI_06:-3;ARI_07:3;ARI_08:3;ARI_09:1;ARI_10:2;ARI_11:1;ARI_12:2;ARI_13:2;ARI_14:2;ARI_15:-2;ARI_16:-1;ARI_17:2;ARI_18:2;ARI_19:2;ARI_20:0;ARI_21:1;ATTRAKDIFF_01:6;ATTRAKDIFF_02:6;ATTRAKDIFF_03:5;ATTRAKDIFF_04:5;ATTRAKDIFF_05:3;ATTRAKDIFF_06:2;ATTRAKDIFF_07:6;ATTRAKDIFF_08:2;ATTRAKDIFF_09:2;ATTRAKDIFF_10:4;ATTRAKDIFF_11:2;ATTRAKDIFF_12:4;ATTRAKDIFF_13:3;ATTRAKDIFF_14:6;ATTRAKDIFF_15:6;ATTRAKDIFF_16:2;ATTRAKDIFF_17:6;ATTRAKDIFF_18:6;ATTRAKDIFF_19:5;ATTRAKDIFF_20:3;ATTRAKDIFF_21:5;ATTRAKDIFF_22:4;ATTRAKDIFF_23:1;ATTRAKDIFF_24:5;ATTRAKDIFF_25:2;ATTRAKDIFF_26:2;ATTRAKDIFF_27:3;ATTRAKDIFF_28:4;SUS_01:2;SUS_02:-2;SUS_03:2;SUS_04:-3;SUS_05:2;SUS_06:2;SUS_07:2;SUS_08:3;SUS_09:3;SUS_10:-2;Q0-duration:71137;Q1-duration:132124;Q2-duration:124423;Q3-duration:125864"
"4","59702357039224","Lab","1535442459259","101932","4","FINAL_01:3;FINAL_02:1;FINAL_03:this artifact would help remind me if the noise is becoming noisy and disruptive to others;FINAL_04:i would like more info and to be more connected to the phone;ARI_01:1;ARI_02:2;ARI_03:2;ARI_04:2;ARI_05:3;ARI_06:-3;ARI_07:-2;ARI_08:3;ARI_09:3;ARI_10:2;ARI_11:1;ARI_12:2;ARI_13:3;ARI_14:2;ARI_15:2;ARI_16:1;ARI_17:1;ARI_18:1;ARI_19:2;ARI_20:2;ARI_21:2;ATTRAKDIFF_01:5;ATTRAKDIFF_02:3;ATTRAKDIFF_03:2;ATTRAKDIFF_04:2;ATTRAKDIFF_05:5;ATTRAKDIFF_06:2;ATTRAKDIFF_07:2;ATTRAKDIFF_08:3;ATTRAKDIFF_09:4;ATTRAKDIFF_10:5;ATTRAKDIFF_11:5;ATTRAKDIFF_12:6;ATTRAKDIFF_13:4;ATTRAKDIFF_14:6;ATTRAKDIFF_15:1;ATTRAKDIFF_16:6;ATTRAKDIFF_17:4;ATTRAKDIFF_18:6;ATTRAKDIFF_19:4;ATTRAKDIFF_20:5;ATTRAKDIFF_21:6;ATTRAKDIFF_22:5;ATTRAKDIFF_23:6;ATTRAKDIFF_24:3;ATTRAKDIFF_25:4;ATTRAKDIFF_26:3;ATTRAKDIFF_27:5;ATTRAKDIFF_28:3;SUS_01:1;SUS_02:-3;SUS_03:3;SUS_04:-2;SUS_05:2;SUS_06:-2;SUS_07:3;SUS_08:1;SUS_09:3;SUS_10:-2;Q0-duration:95254;Q1-duration:138479;Q2-duration:110382;Q3-duration:86051"
"5","59702357039224","Lab","1535442661380","3257","5","FINAL_01:1;FINAL_02:-1;FINAL_03:anything from a stove that is ready to use or a spoon stating the temperature of ur food;FINAL_04:i found that all artifacts are well organized and in place because of the sensors it would help with focusing on other activities
drawbacks sometimes a person can even disregard light and might need more than that;Q0-duration:197967"
"6","34282463854667","Lab","1535443499097","222172","3","FINAL_01:3;FINAL_02:-2;FINAL_03:Think I dont ned it for my tea;FINAL_04:Looks nice;ARI_01:1;ARI_02:1;ARI_03:0;ARI_04:2;ARI_05:3;ARI_06:-3;ARI_07:-3;ARI_08:3;ARI_09:2;ARI_10:-2;ARI_11:0;ARI_12:2;ARI_13:-1;ARI_14:0;ARI_15:0;ARI_16:2;ARI_17:-3;ARI_18:-3;ARI_19:3;ARI_20:0;ARI_21:-3;ATTRAKDIFF_01:7;ATTRAKDIFF_02:1;ATTRAKDIFF_03:4;ATTRAKDIFF_04:4;ATTRAKDIFF_05:2;ATTRAKDIFF_06:3;ATTRAKDIFF_07:3;ATTRAKDIFF_08:6;ATTRAKDIFF_09:4;ATTRAKDIFF_10:2;ATTRAKDIFF_11:5;ATTRAKDIFF_12:3;ATTRAKDIFF_13:5;ATTRAKDIFF_14:2;ATTRAKDIFF_15:1;ATTRAKDIFF_16:6;ATTRAKDIFF_17:3;ATTRAKDIFF_18:5;ATTRAKDIFF_19:7;ATTRAKDIFF_20:5;ATTRAKDIFF_21:5;ATTRAKDIFF_22:2;ATTRAKDIFF_23:5;ATTRAKDIFF_24:3;ATTRAKDIFF_25:6;ATTRAKDIFF_26:4;ATTRAKDIFF_27:4;ATTRAKDIFF_28:2;SUS_01:1;SUS_02:2;SUS_03:-3;SUS_04:3;SUS_05:-2;SUS_06:3;SUS_07:-3;SUS_08:1;SUS_09:-1;SUS_10:3;Q0-duration:52520;Q1-duration:140603;Q2-duration:177784;Q3-duration:56656"
"7","34282463854667","Lab","1535443929747","93622","1","FINAL_01:3;FINAL_02:3;FINAL_03:My plants would be very happy;FINAL_04:Looks unauffÃ¤llig and helps;ARI_01:2;ARI_02:2;ARI_03:-1;ARI_04:2;ARI_05:3;ARI_06:-3;ARI_07:-3;ARI_08:3;ARI_09:2;ARI_10:-1;ARI_11:-1;ARI_12:1;ARI_13:-1;ARI_14:1;ARI_15:-2;ARI_16:2;ARI_17:-2;ARI_18:-2;ARI_19:0;ARI_20:-2;ARI_21:-1;ATTRAKDIFF_01:1;ATTRAKDIFF_02:1;ATTRAKDIFF_03:3;ATTRAKDIFF_04:6;ATTRAKDIFF_05:2;ATTRAKDIFF_06:6;ATTRAKDIFF_07:2;ATTRAKDIFF_08:1;ATTRAKDIFF_09:7;ATTRAKDIFF_10:4;ATTRAKDIFF_11:2;ATTRAKDIFF_12:6;ATTRAKDIFF_13:6;ATTRAKDIFF_14:2;ATTRAKDIFF_15:6;ATTRAKDIFF_16:6;ATTRAKDIFF_17:1;ATTRAKDIFF_18:4;ATTRAKDIFF_19:4;ATTRAKDIFF_20:4;ATTRAKDIFF_21:6;ATTRAKDIFF_22:4;ATTRAKDIFF_23:2;ATTRAKDIFF_24:1;ATTRAKDIFF_25:7;ATTRAKDIFF_26:6;ATTRAKDIFF_27:7;ATTRAKDIFF_28:2;SUS_01:3;SUS_02:-3;SUS_03:3;SUS_04:-3;SUS_05:3;SUS_06:-3;SUS_07:3;SUS_08:-3;SUS_09:2;SUS_10:-3;Q0-duration:71219;Q1-duration:87739;Q2-duration:110337;Q3-duration:66793"
"8","34282463854667","Lab","1535444319504","118552","4","FINAL_01:3;FINAL_02:-1;FINAL_03:Notreally necessary for me;FINAL_04:Could look nicer;ARI_01:1;ARI_02:0;ARI_03:-1;ARI_04:1;ARI_05:3;ARI_06:-3;ARI_07:-3;ARI_08:3;ARI_09:1;ARI_10:0;ARI_11:-1;ARI_12:-1;ARI_13:-3;ARI_14:-1;ARI_15:-3;ARI_16:2;ARI_17:-2;ARI_18:-2;ARI_19:-1;ARI_20:-3;ARI_21:-3;ATTRAKDIFF_01:3;ATTRAKDIFF_02:3;ATTRAKDIFF_03:7;ATTRAKDIFF_04:3;ATTRAKDIFF_05:2;ATTRAKDIFF_06:6;ATTRAKDIFF_07:4;ATTRAKDIFF_08:3;ATTRAKDIFF_09:2;ATTRAKDIFF_10:6;ATTRAKDIFF_11:2;ATTRAKDIFF_12:6;ATTRAKDIFF_13:6;ATTRAKDIFF_14:4;ATTRAKDIFF_15:3;ATTRAKDIFF_16:5;ATTRAKDIFF_17:3;ATTRAKDIFF_18:5;ATTRAKDIFF_19:5;ATTRAKDIFF_20:4;ATTRAKDIFF_21:3;ATTRAKDIFF_22:6;ATTRAKDIFF_23:6;ATTRAKDIFF_24:3;ATTRAKDIFF_25:5;ATTRAKDIFF_26:6;ATTRAKDIFF_27:2;ATTRAKDIFF_28:5;SUS_01:1;SUS_02:-3;SUS_03:3;SUS_04:-2;SUS_05:2;SUS_06:-2;SUS_07:3;SUS_08:0;SUS_09:0;SUS_10:-2;Q0-duration:53470;Q1-duration:81455;Q2-duration:105723;Q3-duration:29683"
"9","34282463854667","Lab","1535444712133","145722","2","FINAL_01:3;FINAL_02:-1;FINAL_03:I can see feel the filling of my mills;FINAL_04:Looks nice;ARI_01:-1;ARI_02:-1;ARI_03:0;ARI_04:1;ARI_05:3;ARI_06:-3;ARI_07:-3;ARI_08:3;ARI_09:-2;ARI_10:-1;ARI_11:0;ARI_12:-1;ARI_13:-2;ARI_14:0;ARI_15:-2;ARI_16:-1;ARI_17:-2;ARI_18:-2;ARI_19:1;ARI_20:-2;ARI_21:-1;ATTRAKDIFF_01:2;ATTRAKDIFF_02:5;ATTRAKDIFF_03:3;ATTRAKDIFF_04:2;ATTRAKDIFF_05:4;ATTRAKDIFF_06:3;ATTRAKDIFF_07:5;ATTRAKDIFF_08:2;ATTRAKDIFF_09:4;ATTRAKDIFF_10:6;ATTRAKDIFF_11:4;ATTRAKDIFF_12:3;ATTRAKDIFF_13:3;ATTRAKDIFF_14:4;ATTRAKDIFF_15:6;ATTRAKDIFF_16:4;ATTRAKDIFF_17:3;ATTRAKDIFF_18:5;ATTRAKDIFF_19:3;ATTRAKDIFF_20:4;ATTRAKDIFF_21:4;ATTRAKDIFF_22:5;ATTRAKDIFF_23:3;ATTRAKDIFF_24:4;ATTRAKDIFF_25:5;ATTRAKDIFF_26:4;ATTRAKDIFF_27:3;ATTRAKDIFF_28:4;SUS_01:-1;SUS_02:-2;SUS_03:2;SUS_04:-3;SUS_05:2;SUS_06:-2;SUS_07:3;SUS_08:-2;SUS_09:0;SUS_10:-3;Q0-duration:51481;Q1-duration:72305;Q2-duration:95040;Q3-duration:27212"
"10","34282463854667","Lab","1535444829010","2561","5","FINAL_01:3;FINAL_02:2;FINAL_03:;FINAL_04:No drawbacks advantages eg for handicapped people advntages for me and my plants;Q0-duration:113546"
