"ID","userID","method","firstStudy","timeStamp","demographics","language","syslanguage","browser","screenWidth","screenHeight"
"1","59702357039224","Lab","0","1535439837467","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Lebanon;Age:23","en","de","Firefox,61.0","1280","607"
"2","34282463854667","Lab","0","1535442842126","Gender:female;Occupation:Management;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:41","en","de","Firefox,61.0","1280","607"
"3","57027574993655","Lab","0","1535444987357","Gender:female;Occupation:Engineering;Graduation:secondary school;Nationality:Germany;Age:23","en","de","Firefox,61.0","1280","607"
"4","18025464968638","Lab","0","1535447356160","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:30","en","de","Firefox,61.0","1280","607"
"5","45803049942478","Lab","0","1535450807363","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:France;Age:22","en","de","Firefox,61.0","1280","607"
"6","49077228105686","Lab","0","1535454466387","Gender:female;Occupation:Engineering;Graduation:completed university studies;Nationality:Egypt;Age:30","en","de","Firefox,61.0","1280","607"
"7","50474400760253","Lab","0","1535461479748","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:India;Age:26","en","de","Firefox,61.0","1280","607"
"8","81815864920848","Lab","0","1535472238511","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Azerbaijan;Age:22","en","de","Firefox,61.0","1280","607"
"10","96038764984296","AR","0","1535534245063","Gender:female;Occupation:Social;Graduation:completed university studies;Nationality:Germany;Age:44","en","de","Firefox,61.0","1152","546"
"11","72020225965604","AR","0","1535537089341","Gender:male;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:30","en","de","Firefox,61.0","1152","546"
"12","16391662354582","AR","0","1535540700939","Gender:female;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:22","en","de","Firefox,61.0","1152","546"
"16","90514684867763","AR","0","1535543972453","Gender:male;Occupation:Engineering;Graduation:secondary school;Nationality:Germany;Age:20","en","de","Firefox,61.0","1152","546"
"17","34082652643967","AR","0","1535546486259","Gender:male;Occupation:Engineering;Graduation:secondary school;Nationality:Germany;Age:27","en","de","Firefox,61.0","1152","546"
"18","80836760655303","AR","0","1535550094734","Gender:male;Occupation:Engineering;Graduation:post-secondary school diploma / high school diploma;Nationality:Germany;Age:23","en","de","Firefox,61.0","1152","546"
"19","27415233484898","AR","0","1535552515218","Gender:male;Occupation:Engineering;Graduation:secondary school;Nationality:Germany;Age:25","en","de","Firefox,61.0","1152","546"
"21","27347076468635","AR","0","1535556802296","Gender:female;Occupation:Engineering;Graduation:completed university studies;Nationality:Germany;Age:28","en","de","Firefox,61.0","1280","607"
